asset_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,asset_name,asset_type,Longitude,Latitude
1835960828,ARG,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,9740.921999,0.01450027051,,10500000.0,landfill_area_sq_meters,,671775.1916,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,Environmental Complex Norte Iii,Sanitary Landfills,-58.6069107055664,-34.5438228657023
1835960830,USA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,9655.3,0.007631580403,,23627405.18,landfill_area_sq_meters,,1265177.0,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,River Birch Landfill,Sanitary Landfills,-90.258,29.932
1835960831,USA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,9496.77,0.04278962307,,7463978.856,landfill_area_sq_meters,,221940.9595,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,Bridgeway Acres Lf,Sanitary Landfills,-82.6757,27.867647
1835960700,USA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,32982.71,0.02091373066,,23571759.83,landfill_area_sq_meters,,1577084.0,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Sampson County Disposal, Llc",Sanitary Landfills,-78.457,34.982
1835960838,DOM,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,9268.401411,0.01648983124,,8785246.693,landfill_area_sq_meters,,562067.6934,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Villa Hermosa, La Romana, Dominican Republic, Site 1",Dumpsites,-69.10379275063562,18.465839416048833
1835960701,NGA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,32584.41347,0.01209668207,,40199600.55,landfill_area_sq_meters,,2693665.361,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,Olushosun,Dumpsites,3.378510475,6.59272532
1835960702,IND,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,32063.39865,0.01589555316,,38925380.39,landfill_area_sq_meters,,2017130.095,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Rajarathinam Colony, Cmwssb Division 37, Ward 37, Zone 4 Tondiarpet, Chennai, Chennai District, Tamil Nadu, 600001, India",Dumpsites,80.26958850803717,13.137487038937492
1835960717,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,24578.13526,0.006402697992,,60000000.0,landfill_area_sq_meters,,3838715.38,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,Jardim Gramacho,Dumpsites,-43.2589781,-22.7489058
1835960719,IND,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,23669.56584,0.01589555316,,28735158.85,landfill_area_sq_meters,,1489068.395,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Kanjurmarg East, Zone 6, Mumbai, Mumbai Metropolitan Region, Thane, Mumbai Suburban, Maharashtra, 400059, India",Dumpsites,72.95175376301363,19.12538652244609
1835960859,USA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,8532.39,0.0212091022,,15570437.14,landfill_area_sq_meters,,402298.5,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,Cherry Island Landfill,Sanitary Landfills,-75.52,39.7308
1835960724,DOM,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,22534.41777,0.01648983124,,28185336.59,landfill_area_sq_meters,,1366564.487,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,La Duquesa,Dumpsites,-69.968022,18.560897
1835960726,VEN,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,22035.48242,0.01648983124,,20886789.48,landfill_area_sq_meters,,1336307.333,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,"Avenida Capitan Zafrane, Parroquia Los Tacariguas, Municipio Girardot, Aragua State, 1203, Venezuela",Dumpsites,-67.64723509529188,10.237612707374808
1835960865,SRB,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,8305.482931,0.0307420186,,12259091.73,landfill_area_sq_meters,,270167.1299,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,Belgrade,Sanitary Landfills,20.5953019,44.7853175
1835960731,USA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,20891.15,0.03237215689,,17711633.97,landfill_area_sq_meters,,645343.1593,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,Pbcswa Rrf Site #7,Sanitary Landfills,-80.137436,26.763
1835960870,ALB,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,8210.2441,0.0307420186,,4628072.334,landfill_area_sq_meters,,267069.128,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,Sharra Landfill,Sanitary Landfills,19.7607618570327,41.2967919100556
1835960733,ARG,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,20280.97599,0.03297966248,,15150901.46,landfill_area_sq_meters,,614954.0191,estimated_tonnes_waste_in_place,2023-01-24 00:00:00,,Environmental Complex Norte Iii C Module,Sanitary Landfills,-58.6151075363159,-34.5239543249044
