source_asset_id,data_source,asset_name,asset_type,Latitude,Longitude
1835961027,Climate TRACE,Dfw Recycling & Disposal Facility,Sanitary Landfills,33.01615,-96.96316
1835961036,Climate TRACE,"Kedaung Baru, Neglasari, Tangerang, Banten, 15127, Indonesia, Site 1",Dumpsites,-6.13562122943018,106.61861995186658
1835961038,Climate TRACE,"Chandaka, Khordha, Odisha, 754005, India",Dumpsites,20.3908902966556,85.78669868843974
1835961182,Climate TRACE,"2Nd Avenue, Festac Town, Amuwo Odofin, Lagos, 071639, Nigeria",Dumpsites,6.459197423960257,3.272563882451074
1835961043,Climate TRACE,"Yunus Mah., Burhaniye, Balıkesir, Marmara Region, 10700, Turkey",Dumpsites,39.480090144777485,26.99002770778783
1835961052,Climate TRACE,Hunter Ferrell Landfill,Sanitary Landfills,32.7839,-96.9389
1835961194,Climate TRACE,"İzmir Serbest Bölgesi, Menemen, Izmir, Aegean Region, 35660, Turkey, Site 2",Dumpsites,38.61466836379242,26.92286385216726
1835961056,Climate TRACE,San Javier Iii,Sanitary Landfills,-24.85415898856,-65.38090467453
1835961063,Climate TRACE,"Parroquia La Concepción, Municipio Jesús Enrique Lossada, Zulia State, Venezuela, Site 2",Dumpsites,10.632283494959546,-71.785353403878
1835961070,Climate TRACE,Middlesex County Lf,Sanitary Landfills,40.4688,-74.3961
1835961077,Climate TRACE,White Oaks Landfill,Sanitary Landfills,32.49697,-91.98176
1835961100,Climate TRACE,"Oke Eri Street, Oworonṣoki, Kosofe, Lagos, 100234, Nigeria",Dumpsites,6.554022276646146,3.405641328654843
1835961382,Climate TRACE,National Serv-All Lf,Sanitary Landfills,41.03109,-85.21634
1835961250,Climate TRACE,City Of Grand Prairie Lf,Sanitary Landfills,32.77166,-96.95
1835961391,Climate TRACE,"Vila Chatuba, Jardim Gramacho, Duque De Caxias, Região Geográfica Imediata Do Rio De Janeiro, Região Metropolitana Do Rio De Janeiro, Região Geográfica Intermediária Do Rio De Janeiro, Rio De Janeiro, Southeast Region, 25056-250, Brazil",Dumpsites,-22.749924917660607,-43.27213416572416
1835961405,Climate TRACE,"Shill Phata, Thane, Mumbai Metropolitan Region, Thane, Maharashtra, 410701, India",Dumpsites,19.14519966340327,73.03758255801687
1835961410,Climate TRACE,"Suka Sari, Tangerang Regency, Banten, 15540, Indonesia",Dumpsites,-6.112935708571936,106.5562782178057
1835961271,Climate TRACE,Camelot Landfill,Sanitary Landfills,33.029167,-96.951
1835961412,Climate TRACE,Quad Cities Landfill Phase Iv,Sanitary Landfills,41.379843,-90.510288
1835961434,Climate TRACE,"Nh548B, Vijayapura, Vijayapura Taluk, Bijapur District, Karnataka, 586101, India",Dumpsites,16.854435747739522,75.74627959127537
1835961436,Climate TRACE,"Suka Tani, Tangerang Regency, Banten, 15540, Indonesia, Site 1",Dumpsites,-6.139401821632055,106.5084038139833
1835961437,Climate TRACE,Oakland Heights Development Landfill,Sanitary Landfills,42.70846,-83.24873
1835961300,Climate TRACE,Columbus Pine Grove Mswlf,Sanitary Landfills,32.483999,-84.850799
1835961448,Climate TRACE,Eastern Sanitary Landfill Solid Waste Management Facility (Esl),Sanitary Landfills,39.3948,-76.3964
1835961317,Climate TRACE,Front Range Landfill,Sanitary Landfills,40.020405,-105.012673
1835961457,Climate TRACE,"Compost Yard-Vellalore, Podanur Road, Ward 99, South Zone, Podanur, Coimbatore South, Coimbatore District, Tamil Nadu, 641038, India",Dumpsites,10.959247996835435,77.00205150995582
1835961458,Climate TRACE,"Malegaon, Nashik, Maharashtra, 423200, India, Site 1",Dumpsites,20.5659205178457,74.56036847896002
1835961321,Climate TRACE,Eagle Valley Rdf,Sanitary Landfills,42.72265,-83.25478
1835961324,Climate TRACE,Disposal Service Inc. Landfill,Sanitary Landfills,38.405,-82.019
1835961464,Climate TRACE,"Tanjung Langsat Industrial Complex, Pasir Gudang, Johor Bahru, Iskandar Malaysia, Johor, 81700, Malaysia, Site 1",Dumpsites,1.473095026488922,103.99392630223713
1835961469,Climate TRACE,"Courtney Ridge Landfill, Llc",Sanitary Landfills,39.141087,-94.388472
1835961330,Climate TRACE,"Mathura Das Pura, Jamwa Ramgarh Tehsil, Jaipur, Rajasthan, 302027, India, Site 1",Dumpsites,26.94736109312273,75.91788813646701
1835961473,Climate TRACE,"Sattur, Virudhunagar District, Tamil Nadu, 626205, India",Dumpsites,9.240142004701015,77.88546670593885
1835961342,Climate TRACE,"Nh44, Sadaiyampatti, Sattur, Virudhunagar District, Tamil Nadu, 626205, India",Dumpsites,9.258774950969705,77.90259112802389
1835961346,Climate TRACE,"Villa Hermosa, La Romana, Dominican Republic, Site 2",Dumpsites,18.465976089717607,-69.10359611690569
1835961347,Climate TRACE,Salt Lake Valley Lf,Sanitary Landfills,40.746,-112.042
1835961368,Climate TRACE,"Xibin, Jinjiang City, Quanzhou, Fujian, China, Site 1",Dumpsites,24.81436656322773,118.62740846342989
1835961374,Climate TRACE,Pirana,Dumpsites,22.98022411,72.567336559
1835961524,Climate TRACE,"Kedaung Baru, Neglasari, Tangerang, Banten, 15127, Indonesia, Site 2",Dumpsites,-6.124393787015471,106.6174736343418
1835961528,Climate TRACE,"Wanaherang, West Java, 16965, Indonesia",Dumpsites,-6.434352854396535,106.95034749311114
1835961541,Climate TRACE,"Aranyaprathet, Fak Huai, Sa Kaeo Province, 27121, Thailand, Site 1",Dumpsites,13.668211321991539,102.52840430734861
1835961545,Climate TRACE,Ecd Landfill,Sanitary Landfills,32.391,-96.6526
1835961686,Climate TRACE,"S51, Beichen District, Ninghe County, Tianjin, China",Dumpsites,39.254553816630505,117.39068036651818
1835961550,Climate TRACE,"Suka Tani, Tangerang Regency, Banten, 15540, Indonesia, Site 2",Dumpsites,-6.142290508428703,106.50823312710557
1835961553,Climate TRACE,"Agboju, Amuwo Odofin, Lagos, 071639, Nigeria, Site 2",Dumpsites,6.460725000723134,3.296170973345824
1835961695,Climate TRACE,Jefferson Parish Slf,Sanitary Landfills,29.926,-90.254
1835961698,Climate TRACE,"Gbagada, Kosofe, Lagos, 100271, Nigeria",Dumpsites,6.55635470412378,3.372334580474065
1835961702,Climate TRACE,"Kazım Karabekir, Ayvalık, Balıkesir, Marmara Region, 10400, Turkey",Dumpsites,39.30325076341169,26.703865452103695
1835961567,Climate TRACE,"Tanjakan Mekar, Tangerang Regency, Banten, 15540, Indonesia",Dumpsites,-6.10051562993279,106.54357871850377
1835961594,Climate TRACE,"Rizal, Calabarzon, 1860, Philippines",Dumpsites,14.777051599538986,121.15703403106977
1835961599,Climate TRACE,Meethotamulla,Dumpsites,6.936843,79.890083
1835961739,Climate TRACE,"Market, Benstar Crescent, Kirikiri, Alapako, Amuwo Odofin, Lagos, 071639, Nigeria",Dumpsites,6.452892149874532,3.289007442315692
1835961600,Climate TRACE,"Pirana Sewage Treatment Plant, Narol Sarkhej Road, Isanpur, Piplaj, Ahmedabad City Taluka, Ahmedabad District, Gujarat, 382405, India",Dumpsites,22.971331319885724,72.55103693230062
1835961747,Climate TRACE,"Mathura Das Pura, Jamwa Ramgarh Tehsil, Jaipur, Rajasthan, 302027, India, Site 2",Dumpsites,26.955230477607483,75.94105025193427
1835961608,Climate TRACE,"Aranyaprathet, Fak Huai, Sa Kaeo Province, 27121, Thailand, Site 2",Dumpsites,13.668674361665142,102.52898310694064
1835961609,Climate TRACE,"Los Cazabes, Santo Domingo Norte, Santo Domingo, 201, Dominican Republic",Dumpsites,18.566385699367476,-69.96468229499585
1835961749,Climate TRACE,"Ifako/Ijaye, Lagos, Nigeria",Dumpsites,6.657646152123665,3.353785136354277
1835961756,Climate TRACE,"Jako-Petedo, Ado Odo/Ota, Ogun, Nigeria",Dumpsites,6.501001607051792,3.083699486485361
